Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.157.65.154-10.157.65.13-53-58214-17,10.157.65.13,58214,10.157.65.154,53,17,31/03/2026 03:06:10 PM,29299,0,2,0.0,232.0,0,0,0,0,182.0,50.0,116.0,93.33809511662427,7918.358988361378,68.26171541690843,29299.0,0.0,29299.0,29299.0,0,0,0,0,0,29299.0,29299.0,0.0,29299.0,29299.0,0,0,0,0,0,16,0.0,68.26171541690843,50.0,182.0,94.0,76.2102355330306,5808.0,0,0,0,0,0,0,0,0,0.0,141.0,0.0,116.0,0,0,0,0,0,0,0,0,2,232,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
10.157.65.154-10.157.65.13-53-60957-6,10.157.65.154,53,10.157.65.13,60957,6,31/03/2026 03:06:30 PM,167,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,11976.047904191617,167.0,0.0,167.0,167.0,0,0,0,0,0,167.0,167.0,0.0,167.0,167.0,0,0,0,0,0,40,0.0,11976.047904191617,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,255,0,0,0,0,0,0,0,0,0,0,No Label
10.157.65.154-10.157.65.13-53-59716-6,10.157.65.154,53,10.157.65.13,59716,6,31/03/2026 03:05:48 PM,76,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,26315.78947368421,76.0,0.0,76.0,76.0,0,0,0,0,0,76.0,76.0,0.0,76.0,76.0,0,0,0,0,0,40,0.0,26315.78947368421,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,255,0,0,0,0,0,0,0,0,0,0,No Label
10.157.65.154-10.157.65.13-53-50305-17,10.157.65.13,50305,10.157.65.154,53,17,31/03/2026 03:06:16 PM,6932480,1,3,46.0,647.0,46.0,46.0,46.0,0.0,424.0,50.0,215.66666666666669,190.61566917054154,99.96422636632201,0.5769940915805022,2310826.666666667,3935831.415878268,6855491.0,21509.0,0,0,0,0,0,6932480.0,3466240.0,4871585.298927034,6910971.0,21509.0,0,0,0,0,8,24,0.14424852289512555,0.43274556868537667,46.0,424.0,148.6,163.10364802787214,26602.8,0,0,0,0,0,0,0,0,3.0,185.75,46.0,215.66666666666666,0,0,0,0,0,0,1,46,3,647,-1,-1,1,0,21509.0,0.0,21509.0,21509.0,6855491.0,0.0,6855491.0,6855491.0,No Label
10.157.65.154-10.157.65.13-53-50274-6,10.157.65.154,53,10.157.65.13,50274,6,31/03/2026 03:05:40 PM,49,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,40816.32653061225,49.0,0.0,49.0,49.0,0,0,0,0,0,49.0,49.0,0.0,49.0,49.0,0,0,0,0,0,40,0.0,40816.32653061225,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,255,0,0,0,0,0,0,0,0,0,0,No Label
10.157.65.154-10.157.65.13-53-59966-17,10.157.65.13,59966,10.157.65.154,53,17,31/03/2026 03:06:07 PM,36939,0,2,0.0,223.0,0,0,0,0,173.0,50.0,111.5,86.97413408594535,6036.979885757601,54.14331736105471,36939.0,0.0,36939.0,36939.0,0,0,0,0,0,36939.0,36939.0,0.0,36939.0,36939.0,0,0,0,0,0,16,0.0,54.14331736105471,50.0,173.0,91.0,71.01408311032397,5043.0,0,0,0,0,0,0,0,0,0.0,136.5,0.0,111.5,0,0,0,0,0,0,0,0,2,223,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
10.157.65.154-10.157.65.13-53-51530-6,10.157.65.154,53,10.157.65.13,51530,6,31/03/2026 03:06:30 PM,111,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,18018.018018018018,111.0,0.0,111.0,111.0,0,0,0,0,0,111.0,111.0,0.0,111.0,111.0,0,0,0,0,0,40,0.0,18018.018018018018,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,255,0,0,0,0,0,0,0,0,0,0,No Label
10.157.65.154-10.157.65.13-53-61374-6,10.157.65.154,53,10.157.65.13,61374,6,31/03/2026 03:05:41 PM,50,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,40000.0,50.0,0.0,50.0,50.0,0,0,0,0,0,50.0,50.0,0.0,50.0,50.0,0,0,0,0,0,40,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,254,0,0,0,0,0,0,0,0,0,0,No Label
10.157.65.154-10.157.65.13-53-56504-6,10.157.65.154,53,10.157.65.13,56504,6,31/03/2026 03:05:41 PM,87,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,22988.505747126437,87.0,0.0,87.0,87.0,0,0,0,0,0,87.0,87.0,0.0,87.0,87.0,0,0,0,0,0,40,0.0,22988.505747126437,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,254,0,0,0,0,0,0,0,0,0,0,No Label
10.157.65.154-10.157.65.13-53-57254-17,10.157.65.13,57254,10.157.65.154,53,17,31/03/2026 03:06:06 PM,44106,0,2,0.0,293.0,0,0,0,0,245.0,48.0,146.5,139.30003589374985,6643.087108329933,45.345304493719674,44106.0,0.0,44106.0,44106.0,0,0,0,0,0,44106.0,44106.0,0.0,44106.0,44106.0,0,0,0,0,0,16,0.0,45.345304493719674,48.0,245.0,113.66666666666667,113.73800303035628,12936.333333333334,0,0,0,0,0,0,0,0,0.0,170.5,0.0,146.5,0,0,0,0,0,0,0,0,2,293,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
